id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,roi.times,roi.currency,roi.percentage,is_roi_missing,price_spread_percentage,volume_mcap_ratio,is_suspicious,log_volume,log_mcap,ai_prediction,risk_score
gmt-token,gomining,GoMining Token,https://coin-images.coingecko.com/coins/images/15662/large/GoMining_Logo.webp?1769225542,-0.06337928654032671,120724476.0,-0.2329268405276543,120724476,12668382,0.299533,0.294226,0.00084925,0.28589,-132639.7006866336,-0.10975,405410103.8330384,405410103.8330384,436915240.0,0.564703,-47.25807,2024-12-16T19:47:13.362Z,0.069487,328.62134,2022-11-10T00:18:31.110Z,,2026-03-09T13:16:44.318Z,-0.07011100225498418,0.28589438889559077,0.28726045207000966,0.7354250522657468,,73.54250522657468,1,-0.38265887203657545,0.10493631709831304,0,-0.8236557985871603,-0.10108191746278702,0,1.4127012e-06
pyth-network,pyth,Pyth Network,https://coin-images.coingecko.com/coins/images/31924/large/pyth.png?1701245725,-0.06337929165913764,267706730.0,-0.4882060399690329,465578352,12490420,0.0473162,0.04537451,0.00061727,1.34092,571352.0,0.21388,5749982333.472617,10000000000.0,10000000000.0,1.2,-96.10973,2024-03-16T07:01:15.357Z,0.03723073,25.00956,2026-02-06T00:25:46.101Z,,2026-03-09T13:16:53.770Z,0.6055494868965015,1.3409178092746503,-3.731410288771349,0.7354250522657468,,73.54250522657468,1,-0.26029208066744924,0.04665710104987984,0,-0.8339253583929948,0.14793907022072417,0,6.4552034e-07
zama,zama,Zama,https://coin-images.coingecko.com/coins/images/70921/large/zama.png?1764591992,-0.06337929221273118,42738923.0,0.4880265029496456,213694615,12464794,0.02019956,0.01930852,-0.000652329011986055,-3.2405,-1892227.8813086003,-4.2397,2200000000.0,11000000000.0,1000000000.0,0.03984797,-51.23542,2026-02-02T12:48:34.036Z,0.01673142,16.13898,2026-02-12T17:20:22.605Z,,2026-03-09T13:16:46.373Z,-0.23483630324817126,-3.240502460231135,-0.6168125158017069,0.7354250522657468,,73.54250522657468,1,-0.24370830990075637,0.2916496915083777,0,-0.8354161843305061,-0.42578019133273665,0,4.619496e-06
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,-0.06337929209302019,271799697.0,-0.4966218377528146,273337465,12462318,0.02545544,0.02462633,7.243e-05,0.2865,-399118.0990024805,-0.14663,10739501694.41805,10800262816.04821,10800262823.318213,2.84,-99.10881,2021-02-12T07:28:45.775Z,0.02343952,8.03589,2026-02-06T00:22:22.369Z,,2026-03-09T13:16:53.704Z,0.7061433915647046,0.2864979862693703,-1.3811827950975157,0.7354250522657468,,73.54250522657468,1,-0.3053968517594934,0.04585111054832739,0,-0.835560391197227,0.15268361884456244,0,6.847618e-07
war,war,WAR,https://coin-images.coingecko.com/coins/images/71796/large/war.png?1769676733,-0.0633792919709915,31970454.0,0.8078268187333506,31970454,12372620,0.03395794,0.02540317,-0.002188893519152316,-6.52769,-2003399.0549745187,-5.89689,999990412.012792,999990412.012792,1000000000.0,0.06265,-48.4445,2026-03-06T19:00:48.503Z,0.00530827,508.47158,2026-01-27T18:57:44.944Z,,2026-03-09T13:16:46.970Z,-3.9828156931146252,-6.52769433964437,59.7048774445431,0.7354250522657468,,73.54250522657468,1,1.1928004874716032,0.3870016864007722,0,-0.8408039824685694,-0.5165536363409149,0,1.0338673e-05
akash-network,akt,Akash Network,https://coin-images.coingecko.com/coins/images/12785/large/akash-logo.png?1696512580,-0.06337928475818994,112069251.0,-0.19084785160874573,112160788,12247916,0.40146,0.375369,-0.007590321530468402,-1.93157,-1451242.7031198293,-1.2784,289254334.040396,289490592.845896,388539008.0,8.07,-95.18505,2021-04-06T18:59:48.484Z,0.164994,135.64877,2022-11-21T20:30:53.727Z,,2026-03-09T13:16:44.493Z,-0.015534255429562546,-1.9315677446861306,30.485816427934548,0.7354250522657468,,73.54250522657468,1,-0.12823839031906567,0.10928881723954043,0,-0.8481574784278467,-0.1243441969769029,0,1.177187e-06
melania-meme,melania,Melania Meme,https://coin-images.coingecko.com/coins/images/53775/large/melania-meme.png?1737329885,-0.06337929044677428,100993211.0,-0.13754779897812824,106029629,12228566,0.109849,0.103999,0.00108658,1.03414,879174.0,0.87817,952496375.911841,999996297.573712,1000000000.0,13.05,-99.18792,2025-01-20T07:00:55.462Z,0.089932,17.85846,2025-10-22T22:43:19.403Z,,2026-03-09T13:16:44.678Z,0.9360644893875244,1.0341422267548148,-0.7692116553381932,0.7354250522657468,,73.54250522657468,1,-0.1937685859307131,0.12108304863103077,0,-0.8493052073513502,-0.15688394588969892,0,1.3525959e-06
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,https://coin-images.coingecko.com/coins/images/33415/large/eurcv_%281%29.png?1701752017,-0.06337926897623633,95218273.0,-0.10107934191507416,95218273,12201016,1.16,1.15,-0.0023471435063116,-0.20261,403889.0,0.42598,82405684.24,82405684.24,1000000000.0,1.22,-5.19893,2026-01-27T05:25:46.416Z,0.988513,16.83099,2025-02-04T22:15:33.361Z,,2026-03-09T13:16:44.868Z,0.06070068364785737,-0.202605916927989,-1.2111081171304927,0.7354250522657468,,73.54250522657468,1,-0.4288342930209341,0.12813733632684834,0,-0.8509424498695731,-0.17529562089367864,0,1.2780414e-06
zencash,zen,Horizen,https://coin-images.coingecko.com/coins/images/691/large/Horizen2.0-logo_icon-on-yellow_%281%29.png?1751696763,-0.06337918279606007,96056004.0,-0.1038846078430014,112864856,12170453,5.39,5.12,0.090349,1.70396,958995.0,1.00844,17872490.73116476,21000000.0,21000000.0,165.92,-96.75923,2021-05-08T06:00:30.087Z,3.26,64.71096,2019-10-17T00:00:00.000Z,,2026-03-09T13:16:44.924Z,1.0948794634627266,1.7039588459263324,1.1815563016717343,0.7354250522657468,,73.54250522657468,1,-0.21114913131347537,0.12670163619650848,0,-0.8527630801645475,-0.17255659750427868,0,1.7048524e-06
ordinals,ordi,ORDI,https://coin-images.coingecko.com/coins/images/30162/large/ordi.png?1696529082,-0.06337924391675245,49970690.0,0.3561790043370655,49970690,12156286,2.42,2.3,0.054058,2.31436,684811.0,1.38947,21000000.0,21000000.0,1000000000.0,95.52,-97.50969,2024-03-05T01:45:22.816Z,2.25,5.92323,2026-02-28T10:15:38.956Z,,2026-03-09T13:16:46.182Z,1.1168711876726594,2.314358837571662,-0.988702182769493,0.7354250522657468,,73.54250522657468,1,-0.2139195171582608,0.24326831902324506,0,-0.8536085562159829,-0.3768983248459686,0,2.2209888e-06
